in:vendor_set,in:country,out:ProSpec price,out:zone name
$(ProSpec) <= $in,"$(US, DE, FR)",${FedExZone 1},USA & Western Europe
$(ProSpec) <= $in,"$(CA, TR)",${FedExZone 2},"Canada, Turkey"
$(ProSpec) <= $in,"$(AU, CN, BR)",${FedExZone 3},"Australia , Asia, Middle East, Central America, South America"
$(ProSpec) <= $in,"$(PL, BY, UA, LV, RO)",${FedExZone 4},Eastern Europe
$(ProSpec) <= $in,"$(DZ, TN, KE, ZA)",${FedExZone 5},Africa & S. Africa
